,quantity,order_number,reference,ship_out_date,arrival_date
0,"5.796,00 UN",300639,ENGR.HEL DCHA.R120637,10/07/2021,
1,"5.796,00 UN",300639,ENGR.HEL .IZDA.R120639,10/07/2021,
2,"5.796,00 UN",300639,ENGR.HEL DCHA.R120637,25/07/2021,
3,"5.796,00 UN",300639,ENGR.HEL .IZDA.R120639,25/07/2021,
4,"5.796,00 UN",300639,ENGR.HEL DCHA.R120637,10/09/2021,
5,"5.796,00 UN",300639,ENGR.HEL .IZDA.R120639,10/09/2021,
6,"9.660,00 UN",300639,ENGR.HEL DCHA.R120637,10/10/2021,
7,"9.660,00 UN",300639,ENGR.HEL .IZDA.R120639,10/10/2021,
8,"7.728,00 UN",300639,ENGR.HEL DCHA.R120637,10/11/2021,
9,"7.728,00 UN",300639,ENGR.HEL .IZDA.R120639,10/11/2021,
10,"9.660,00 UN",300722,ENGR.HEL DCHA.R120637,05/12/2021,
11,"9.660,00 UN",300722,ENGR.HEL .IZDA.R120639,05/12/2021,
12,"9.660,00 UN",300722,ENGR.HEL DCHA.R120637,05/01/2022,
13,"9.660,00 UN",300722,ENGR.HEL .IZDA.R120639,05/01/2022,
14,"9.660,00 UN",300722,ENGR.HEL DCHA.R120637,05/02/2022,
15,"9.660,00 UN",300722,ENGR.HEL .IZDA.R120639,05/02/2022,
16,"7.728,00 UN",300722,ENGR.HEL DCHA.R120637,05/03/2022,
17,"7.728,00 UN",300722,ENGR.HEL .IZDA.R120639,05/03/2022,
18,"7.728,00 UN",300722,ENGR.HEL DCHA.R120637,05/04/2022,
19,"7.728,00 UN",300722,ENGR.HEL .IZDA.R120639,05/04/2022,
20,"7.728,00 UN",300722,ENGR.HEL DCHA.R120637,05/05/2022,
21,"7.728,00 UN",300722,ENGR.HEL .IZDA.R120639,05/05/2022,
22,"9.660,00 UN",300722,ENGR.HEL DCHA.R120637,05/12/2021,
23,"9.660,00 UN",300722,ENGR.HEL .IZDA.R120639,05/12/2021,
24,"7.728,00 UN",300722,ENGR.HEL DCHA.R120637,05/01/2022,
25,"7.728,00 UN",300722,ENGR.HEL .IZDA.R120639,05/01/2022,
26,"7.728,00 UN",300722,ENGR.HEL DCHA.R120637,05/02/2022,
27,"7.728,00 UN",300722,ENGR.HEL .IZDA.R120639,05/02/2022,
28,"7.728,00 UN",300722,ENGR.HEL DCHA.R120637,05/03/2022,
29,"7.728,00 UN",300722,ENGR.HEL .IZDA.R120639,05/03/2022,
30,"9.660,00 UN",300722,ENGR.HEL DCHA.R120637,05/12/2021,
31,"9.660,00 UN",300722,ENGR.HEL .IZDA.R120639,05/12/2021,
32,"7.728,00 UN",300722,ENGR.HEL DCHA.R120637,05/01/2022,
33,"7.728,00 UN",300722,ENGR.HEL .IZDA.R120639,05/01/2022,
34,"7.728,00 UN",300722,ENGR.HEL DCHA.R120637,05/02/2022,
35,"7.728,00 UN",300722,ENGR.HEL .IZDA.R120639,05/02/2022,
36,"7.728,00 UN",300722,ENGR.HEL DCHA.R120637,05/03/2022,
37,"7.728,00 UN",300722,ENGR.HEL .IZDA.R120639,05/03/2022,
