;quantity;order_number;reference;ship_out_date;arrival_date
0;5.796,00 UN;300639;ENGR.HEL DCHA.R120637;07/10/2021;
0;5.796,00 UN;300639;ENGR.HEL .IZDA.R120639;07/10/2021;
0;5.796,00 UN;300639;ENGR.HEL DCHA.R120637;25/07/2021;
0;5.796,00 UN;300639;ENGR.HEL .IZDA.R120639;25/07/2021;
0;5.796,00 UN;300639;ENGR.HEL DCHA.R120637;09/10/2021;
0;5.796,00 UN;300639;ENGR.HEL .IZDA.R120639;09/10/2021;
0;9.660,00 UN;300639;ENGR.HEL DCHA.R120637;10/10/2021;
0;9.660,00 UN;300639;ENGR.HEL .IZDA.R120639;10/10/2021;
0;7.728,00 UN;300639;ENGR.HEL DCHA.R120637;11/10/2021;
0;7.728,00 UN;300639;ENGR.HEL .IZDA.R120639;11/10/2021;
0;9.660,00 UN;300722;ENGR.HEL DCHA.R120637;12/05/2021;
0;9.660,00 UN;300722;ENGR.HEL .IZDA.R120639;12/05/2021;
0;9.660,00 UN;300722;ENGR.HEL DCHA.R120637;01/05/2022;
0;9.660,00 UN;300722;ENGR.HEL .IZDA.R120639;01/05/2022;
0;9.660,00 UN;300722;ENGR.HEL DCHA.R120637;02/05/2022;
0;9.660,00 UN;300722;ENGR.HEL .IZDA.R120639;02/05/2022;
0;7.728,00 UN;300722;ENGR.HEL DCHA.R120637;03/05/2022;
0;7.728,00 UN;300722;ENGR.HEL .IZDA.R120639;03/05/2022;
0;7.728,00 UN;300722;ENGR.HEL DCHA.R120637;04/05/2022;
0;7.728,00 UN;300722;ENGR.HEL .IZDA.R120639;04/05/2022;
0;7.728,00 UN;300722;ENGR.HEL DCHA.R120637;05/05/2022;
0;7.728,00 UN;300722;ENGR.HEL .IZDA.R120639;05/05/2022;
0;9.660,00 UN;300722;ENGR.HEL DCHA.R120637;12/05/2021;
0;9.660,00 UN;300722;ENGR.HEL .IZDA.R120639;12/05/2021;
0;7.728,00 UN;300722;ENGR.HEL DCHA.R120637;01/05/2022;
0;7.728,00 UN;300722;ENGR.HEL .IZDA.R120639;01/05/2022;
0;7.728,00 UN;300722;ENGR.HEL DCHA.R120637;02/05/2022;
0;7.728,00 UN;300722;ENGR.HEL .IZDA.R120639;02/05/2022;
0;7.728,00 UN;300722;ENGR.HEL DCHA.R120637;03/05/2022;
0;7.728,00 UN;300722;ENGR.HEL .IZDA.R120639;03/05/2022;
0;9.660,00 UN;300722;ENGR.HEL DCHA.R120637;12/05/2021;
0;9.660,00 UN;300722;ENGR.HEL .IZDA.R120639;12/05/2021;
0;7.728,00 UN;300722;ENGR.HEL DCHA.R120637;01/05/2022;
0;7.728,00 UN;300722;ENGR.HEL .IZDA.R120639;01/05/2022;
0;7.728,00 UN;300722;ENGR.HEL DCHA.R120637;02/05/2022;
0;7.728,00 UN;300722;ENGR.HEL .IZDA.R120639;02/05/2022;
0;7.728,00 UN;300722;ENGR.HEL DCHA.R120637;03/05/2022;
0;7.728,00 UN;300722;ENGR.HEL .IZDA.R120639;03/05/2022;
